"","dates","DOY","hour","forage.time.minute","forage.bout.minute","zen"
"1",1990-01-01 00:00:00,1,0,0,0,90
"2",1990-01-01 01:00:00,1,1,0,0,90
"3",1990-01-01 02:00:00,1,2,0,0,90
"4",1990-01-01 03:00:00,1,3,0,0,90
"5",1990-01-01 04:00:00,1,4,0,0,90
"6",1990-01-01 05:00:00,1,5,0,0,90
"7",1990-01-01 06:00:00,1,6,0,0,80.9456253051758
"8",1990-01-01 07:00:00,1,7,0,0,67.9482879638672
"9",1990-01-01 08:00:00,1,8,1,1,54.644100189209
"10",1990-01-01 09:00:00,1,9,60,60,41.1356544494629
"11",1990-01-01 10:00:00,1,10,41,27.5,27.4947299957275
"12",1990-01-01 11:00:00,1,11,19.25,9,13.7780151367188
"13",1990-01-01 12:00:00,1,12,5.25,2.25,0.651320457458496
"14",1990-01-01 13:00:00,1,13,0,0,13.7780151367188
"15",1990-01-01 14:00:00,1,14,0,0,27.4947299957275
"16",1990-01-01 15:00:00,1,15,0.5,0.25,41.1356544494629
"17",1990-01-01 16:00:00,1,16,4,3,54.644100189209
"18",1990-01-01 17:00:00,1,17,18.75,12.75,67.9482879638672
"19",1990-01-01 18:00:00,1,18,46.5,46.5,80.9456253051758
"20",1990-01-01 19:00:00,1,19,0,0,90
"21",1990-01-01 20:00:00,1,20,0,0,90
"22",1990-01-01 21:00:00,1,21,0,0,90
"23",1990-01-01 22:00:00,1,22,0,0,90
"24",1990-01-01 23:00:00,1,23,0,0,90
"25",1990-01-02 00:00:00,NA,NA,NA,NA,NA
"26",1990-01-02 01:00:00,NA,NA,NA,NA,NA
"27",1990-01-02 02:00:00,NA,NA,NA,NA,NA
"28",1990-01-02 03:00:00,NA,NA,NA,NA,NA
"29",1990-01-02 04:00:00,NA,NA,NA,NA,NA
"30",1990-01-02 05:00:00,NA,NA,NA,NA,NA
"31",1990-01-02 06:00:00,NA,NA,NA,NA,NA
"32",1990-01-02 07:00:00,NA,NA,NA,NA,NA
"33",1990-01-02 08:00:00,NA,NA,NA,NA,NA
"34",1990-01-02 09:00:00,NA,NA,NA,NA,NA
"35",1990-01-02 10:00:00,NA,NA,NA,NA,NA
"36",1990-01-02 11:00:00,NA,NA,NA,NA,NA
"37",1990-01-02 12:00:00,NA,NA,NA,NA,NA
"38",1990-01-02 13:00:00,NA,NA,NA,NA,NA
"39",1990-01-02 14:00:00,NA,NA,NA,NA,NA
"40",1990-01-02 15:00:00,NA,NA,NA,NA,NA
"41",1990-01-02 16:00:00,NA,NA,NA,NA,NA
"42",1990-01-02 17:00:00,NA,NA,NA,NA,NA
"43",1990-01-02 18:00:00,NA,NA,NA,NA,NA
"44",1990-01-02 19:00:00,NA,NA,NA,NA,NA
"45",1990-01-02 20:00:00,NA,NA,NA,NA,NA
"46",1990-01-02 21:00:00,NA,NA,NA,NA,NA
"47",1990-01-02 22:00:00,NA,NA,NA,NA,NA
"48",1990-01-02 23:00:00,NA,NA,NA,NA,NA
"49",1990-01-03 00:00:00,NA,NA,NA,NA,NA
"50",1990-01-03 01:00:00,NA,NA,NA,NA,NA
"51",1990-01-03 02:00:00,NA,NA,NA,NA,NA
"52",1990-01-03 03:00:00,NA,NA,NA,NA,NA
"53",1990-01-03 04:00:00,NA,NA,NA,NA,NA
"54",1990-01-03 05:00:00,NA,NA,NA,NA,NA
"55",1990-01-03 06:00:00,NA,NA,NA,NA,NA
"56",1990-01-03 07:00:00,NA,NA,NA,NA,NA
"57",1990-01-03 08:00:00,NA,NA,NA,NA,NA
