Date,LizardID,location,posture,time,datetime,te,direction
16/11/13,M6,under bush near him,N (1),6:41,16/11/2013 6:41,10.3,110 SE
16/11/13,M6,under bush near him,F (1),6:41,16/11/2013 6:41,10,110 SE
16/11/13,M6,in full sun on sand,N (2),6:41,16/11/2013 6:41,9.9,110 SE
16/11/13,M6,in full sun on sand,F (2),6:41,16/11/2013 6:41,9.9,110 SE
16/11/13,M6,leaf litter,N (3),6:41,16/11/2013 6:41,9.8,110 SE
16/11/13,M6,leaf litter,F (3),6:41,16/11/2013 6:41,9.7,110 SE
16/11/13,M6,in tree,N (4),6:41,16/11/2013 6:41,10.1,110 SE
16/11/13,M6,in tree,F (4),6:41,16/11/2013 6:41,10,110 SE
16/11/13,M6,under bush near him,N (1),7:20,16/11/2013 7:20,10.6,110 SE
16/11/13,M6,under bush near him,F (1),7:20,16/11/2013 7:20,10.7,110 SE
16/11/13,M6,in full sun on sand,N (2),7:20,16/11/2013 7:20,10.7,110 SE
16/11/13,M6,in full sun on sand,F (2),7:20,16/11/2013 7:20,10.6,110 SE
16/11/13,M6,leaf litter,N (3),7:20,16/11/2013 7:20,10.6,110 SE
16/11/13,M6,leaf litter,F (3),7:20,16/11/2013 7:20,10.7,110 SE
16/11/13,M6,in tree,N (4),7:20,16/11/2013 7:20,11,110 SE
16/11/13,M6,in tree,F (4),7:20,16/11/2013 7:20,11.1,110 SE
16/11/13,M6,under bush near him,N (1),8:21,16/11/2013 8:21,13,110 SE
16/11/13,M6,under bush near him,F (1),8:21,16/11/2013 8:21,13.1,110 SE
16/11/13,M6,in full sun on sand,N (2),8:21,16/11/2013 8:21,13.7,110 SE
16/11/13,M6,in full sun on sand,F (2),8:21,16/11/2013 8:21,13.17,110 SE
16/11/13,M6,leaf litter,N (3),8:21,16/11/2013 8:21,13.9,110 SE
16/11/13,M6,leaf litter,F (3),8:21,16/11/2013 8:21,14.3,110 SE
16/11/13,M6,in tree,N (4),8:21,16/11/2013 8:21,12.6,110 SE
16/11/13,M6,in tree,F (4),8:21,16/11/2013 8:21,12.6,110 SE
16/11/13,M6,under bush near him,N (1),9:21,16/11/2013 9:21,19.8,110 SE
16/11/13,M6,under bush near him,F (1),9:21,16/11/2013 9:21,21.8,110 SE
16/11/13,M6,in full sun on sand,N (2),9:21,16/11/2013 9:21,22.2,110 SE
16/11/13,M6,in full sun on sand,F (2),9:21,16/11/2013 9:21,22.5,110 SE
16/11/13,M6,leaf litter,N (3),9:21,16/11/2013 9:21,19,110 SE
16/11/13,M6,leaf litter,F (3),9:21,16/11/2013 9:21,20.8,110 SE
16/11/13,M6,in tree,N (4),9:21,16/11/2013 9:21,17.7,110 SE
16/11/13,M6,in tree,F (4),9:21,16/11/2013 9:21,18.3,110 SE
16/11/13,M6,under bush near him,N (1),10:22,16/11/2013 10:22,27.8,110 SE
16/11/13,M6,under bush near him,F (1),10:22,16/11/2013 10:22,32.9,110 SE
16/11/13,M6,in full sun on sand,N (2),10:22,16/11/2013 10:22,30.9,110 SE
16/11/13,M6,in full sun on sand,F (2),10:22,16/11/2013 10:22,31.6,110 SE
16/11/13,M6,leaf litter,N (3),10:22,16/11/2013 10:22,25.8,110 SE
16/11/13,M6,leaf litter,F (3),10:22,16/11/2013 10:22,23.8,110 SE
16/11/13,M6,in tree,N (4),10:22,16/11/2013 10:22,21.4,110 SE
16/11/13,M6,in tree,F (4),10:22,16/11/2013 10:22,20.8,110 SE
16/11/13,M6,under bush near him,N (1),11:24,16/11/2013 11:24,33,110 SE
16/11/13,M6,under bush near him,F (1),11:24,16/11/2013 11:24,40.3,110 SE
16/11/13,M6,in full sun on sand,N (2),11:24,16/11/2013 11:24,37.2,110 SE
16/11/13,M6,in full sun on sand,F (2),11:24,16/11/2013 11:24,38.4,110 SE
16/11/13,M6,leaf litter,N (3),11:24,16/11/2013 11:24,28.3,110 SE
16/11/13,M6,leaf litter,F (3),11:24,16/11/2013 11:24,29.3,110 SE
16/11/13,M6,in tree,N (4),11:24,16/11/2013 11:24,23.3,110 SE
16/11/13,M6,in tree,F (4),11:24,16/11/2013 11:24,22.8,110 SE
16/11/13,M6,under bush near him,N (1),12:35,16/11/2013 12:35,39.6,340 NW
16/11/13,M6,under bush near him,F (1),12:35,16/11/2013 12:35,43.3,340 NW
16/11/13,M6,in full sun on sand,N (2),12:35,16/11/2013 12:35,42.4,340 NW
16/11/13,M6,in full sun on sand,F (2),12:35,16/11/2013 12:35,44.1,340 NW
16/11/13,M6,leaf litter,N (3),12:35,16/11/2013 12:35,40.9,340 NW
16/11/13,M6,leaf litter,F (3),12:35,16/11/2013 12:35,44.8,340 NW
16/11/13,M6,in tree,N (4),12:35,16/11/2013 12:35,33.6,90 E
16/11/13,M6,in tree,F (4),12:35,16/11/2013 12:35,33.8,90 E
16/11/13,M6,under bush near him,N (1),13:22,16/11/2013 13:22,31.7,340 NW
16/11/13,M6,under bush near him,F (1),13:22,16/11/2013 13:22,31.4,340 NW
16/11/13,M6,in full sun on sand,N (2),13:22,16/11/2013 13:22,51,340 NW
16/11/13,M6,in full sun on sand,F (2),13:22,16/11/2013 13:22,53,340 NW
16/11/13,M6,leaf litter,N (3),13:22,16/11/2013 13:22,50.2,340 NW
16/11/13,M6,leaf litter,F (3),13:22,16/11/2013 13:22,48.9,340 NW
16/11/13,M6,in tree,N (4),13:22,16/11/2013 13:22,24.7,90 E
16/11/13,M6,in tree,F (4),13:22,16/11/2013 13:22,28.6,90 E
16/11/13,M6,under bush near him,N (1),14:20,16/11/2013 14:20,28.2,340 NW
16/11/13,M6,under bush near him,F (1),14:20,16/11/2013 14:20,28,340 NW
16/11/13,M6,in full sun on sand,N (2),14:20,16/11/2013 14:20,51.5,340 NW
16/11/13,M6,in full sun on sand,F (2),14:20,16/11/2013 14:20,53.6,340 NW
16/11/13,M6,leaf litter,N (3),14:20,16/11/2013 14:20,55.6,340 NW
16/11/13,M6,leaf litter,F (3),14:20,16/11/2013 14:20,52.3,340 NW
16/11/13,M6,in tree,N (4),14:20,16/11/2013 14:20,36.9,90 E
16/11/13,M6,in tree,F (4),14:20,16/11/2013 14:20,32.3,90 E (fell off at some point during previous period)
16/11/13,M6,under bush near him,N (1),15:22,16/11/2013 15:22,29.2,300 NW
16/11/13,M6,under bush near him,F (1),15:22,16/11/2013 15:22,30.4,300 NW
16/11/13,M6,in full sun on sand,N (2),15:22,16/11/2013 15:22,49.9,300 NW
16/11/13,M6,in full sun on sand,F (2),15:22,16/11/2013 15:22,51.2,300 NW
16/11/13,M6,leaf litter,N (3),15:22,16/11/2013 15:22,49.4,300 NW
16/11/13,M6,leaf litter,F (3),15:22,16/11/2013 15:22,45.6,300 NW
16/11/13,M6,in tree,N (4),15:22,16/11/2013 15:22,33.5,90 E
16/11/13,M6,in tree,F (4),15:22,16/11/2013 15:22,33.5,90 E (fell off again at some point during previous period)
16/11/13,M6,under same bush as him,N (1),16:42,16/11/2013 16:42,44.9,300 NW
16/11/13,M6,under same bush as him,F (1),16:42,16/11/2013 16:42,45.4,300 NW
16/11/13,M6,in full sun on sand,N (2),16:42,16/11/2013 16:42,49.1,300 NW
16/11/13,M6,in full sun on sand,F (2),16:42,16/11/2013 16:42,50.4,300 NW
16/11/13,M6,on flat shrub/bush near him,N (3),16:42,16/11/2013 16:42,48.2,300 NW
16/11/13,M6,on flat shrub/bush near him,F (3),16:42,16/11/2013 16:42,50.2,300 NW
16/11/13,M6,in bush/small tree near him,N (4),16:42,16/11/2013 16:42,43.3,320 NW
16/11/13,M6,in bush/small tree near him,F (4),16:42,16/11/2013 16:42,46,320 NW
16/11/13,M6,under same bush as him,N (1),17:21,16/11/2013 17:21,30,270 W
16/11/13,M6,under same bush as him,F (1),17:21,16/11/2013 17:21,29.1,270 W
16/11/13,M6,in full sun on sand,N (2),17:21,16/11/2013 17:21,46.9,270 W
16/11/13,M6,in full sun on sand,F (2),17:21,16/11/2013 17:21,47.8,270 W
16/11/13,M6,on flat shrub/bush near him,N (3),17:21,16/11/2013 17:21,38.2,270 W
16/11/13,M6,on flat shrub/bush near him,F (3),17:21,16/11/2013 17:21,46.7,270 W
16/11/13,M6,in bush/small tree near him,N (4),17:21,16/11/2013 17:21,34.4,320 NW
16/11/13,M6,in bush/small tree near him,F (4),17:21,16/11/2013 17:21,33,320 NW
16/11/13,M6,under same bush as him,N (1),18:27,16/11/2013 18:27,29.7,160 SE
16/11/13,M6,under same bush as him,F (1),18:27,16/11/2013 18:27,29.8,160 SE
16/11/13,M6,on sand in full sun,N (2),18:27,16/11/2013 18:27,37,160 SE
