"","V1","V2"
"1",152.51875,-27.00125
"2",152.51875,-26.40125
"3",151.31875,-32.40125
"4",151.31875,-33.00125
"5",151.91875,-27.60125
"6",150.11875,-33.60125
"7",151.91875,-24.60125
"8",150.71875,-34.20125
"9",151.91875,-28.20125
"10",151.31875,-29.40125
"11",151.91875,-26.40125
"12",150.71875,-31.80125
"13",152.51875,-25.20125
"14",150.71875,-33.60125
"15",150.11875,-31.80125
"16",151.31875,-28.20125
"17",150.71875,-32.40125
"18",151.91875,-25.80125
"19",150.71875,-31.20125
"20",151.31875,-28.80125
"21",153.11875,-27.60125
"22",152.51875,-29.40125
"23",151.31875,-27.00125
"24",150.71875,-30.60125
"25",150.71875,-33.00125
"26",149.51875,-34.20125
"27",151.91875,-27.00125
"28",151.31875,-24.00125
"29",150.11875,-33.00125
"30",152.51875,-25.80125
"31",152.51875,-27.60125
"32",151.91875,-25.20125
"33",151.31875,-27.60125
"34",151.31875,-26.40125
"35",149.51875,-33.00125
"36",151.31875,-25.20125
"37",150.71875,-29.40125
"38",149.51875,-33.60125
"39",151.31875,-25.80125
"40",150.11875,-30.60125
"41",150.71875,-28.80125
"42",148.91875,-36.60125
"43",150.71875,-28.20125
"44",150.71875,-22.80125
"45",150.71875,-30.00125
"46",150.71875,-27.60125
"47",150.71875,-25.80125
"48",150.11875,-32.40125
"49",150.71875,-25.20125
"50",151.31875,-24.60125
"51",150.11875,-31.20125
"52",150.11875,-30.00125
"53",150.71875,-27.00125
"54",150.71875,-26.40125
"55",150.71875,-24.60125
"56",149.51875,-31.80125
"57",149.51875,-31.20125
"58",150.71875,-23.40125
"59",149.51875,-32.40125
"60",148.91875,-34.80125
"61",150.11875,-25.80125
"62",150.71875,-24.00125
"63",150.11875,-28.20125
"64",150.11875,-28.80125
"65",150.11875,-27.00125
"66",150.11875,-26.40125
"67",150.11875,-25.20125
"68",150.11875,-27.60125
"69",150.11875,-24.60125
"70",148.91875,-33.00125
"71",148.91875,-31.20125
"72",150.11875,-29.40125
"73",148.91875,-32.40125
"74",148.91875,-34.20125
"75",149.51875,-30.00125
"76",149.51875,-28.20125
"77",149.51875,-27.60125
"78",148.91875,-33.60125
"79",149.51875,-30.60125
"80",150.11875,-24.00125
"81",149.51875,-29.40125
"82",148.91875,-31.80125
"83",150.11875,-23.40125
"84",150.11875,-22.80125
"85",149.51875,-27.00125
"86",149.51875,-28.80125
"87",149.51875,-22.20125
"88",148.91875,-30.60125
"89",149.51875,-24.00125
"90",149.51875,-26.40125
"91",149.51875,-22.80125
"92",149.51875,-24.60125
"93",148.91875,-28.20125
"94",149.51875,-23.40125
"95",148.91875,-27.00125
"96",148.91875,-28.80125
"97",149.51875,-25.80125
"98",148.91875,-25.20125
"99",148.91875,-25.80125
"100",148.91875,-27.60125
"101",149.51875,-25.20125
"102",148.91875,-30.00125
"103",148.91875,-26.40125
"104",148.91875,-29.40125
"105",148.91875,-24.60125
"106",148.31875,-36.00125
"107",148.31875,-35.40125
"108",148.91875,-21.00125
"109",148.91875,-22.20125
"110",148.91875,-22.80125
"111",148.91875,-24.00125
"112",148.91875,-23.40125
"113",148.91875,-21.60125
"114",148.31875,-34.80125
"115",148.31875,-33.60125
"116",148.31875,-33.00125
"117",148.31875,-31.20125
"118",148.31875,-31.80125
"119",148.31875,-34.20125
"120",148.31875,-30.60125
"121",148.31875,-30.00125
"122",148.31875,-32.40125
"123",148.31875,-29.40125
"124",147.71875,-37.80125
"125",147.71875,-36.60125
"126",147.71875,-37.20125
"127",147.71875,-35.40125
"128",147.71875,-36.00125
"129",147.71875,-34.80125
"130",147.71875,-34.20125
"131",147.71875,-33.00125
"132",147.71875,-33.60125
"133",147.71875,-32.40125
"134",147.71875,-31.20125
"135",147.71875,-30.60125
"136",148.31875,-25.20125
"137",147.71875,-31.80125
"138",148.31875,-27.60125
"139",148.31875,-26.40125
"140",148.31875,-28.20125
"141",147.71875,-26.40125
"142",147.71875,-25.20125
"143",148.31875,-22.80125
"144",148.31875,-21.60125
"145",148.31875,-27.00125
"146",148.31875,-23.40125
"147",147.71875,-25.80125
"148",148.31875,-21.00125
"149",147.71875,-27.00125
"150",148.31875,-24.00125
"151",148.31875,-25.80125
"152",147.71875,-21.00125
"153",148.31875,-28.80125
"154",148.31875,-22.20125
"155",147.71875,-29.40125
"156",147.71875,-23.40125
"157",147.71875,-28.20125
"158",147.71875,-30.00125
"159",147.71875,-24.60125
"160",147.71875,-27.60125
"161",147.71875,-22.20125
"162",147.71875,-28.80125
"163",148.31875,-24.60125
"164",147.71875,-20.40125
"165",147.71875,-21.60125
"166",148.31875,-20.40125
"167",147.71875,-24.00125
"168",147.11875,-36.60125
"169",147.11875,-34.80125
"170",147.71875,-22.80125
"171",147.11875,-34.20125
"172",147.11875,-33.60125
"173",147.11875,-31.80125
"174",147.11875,-31.20125
"175",147.11875,-29.40125
"176",147.11875,-27.00125
"177",147.11875,-27.60125
"178",147.11875,-30.00125
"179",147.11875,-28.80125
"180",147.11875,-26.40125
"181",147.11875,-30.60125
"182",147.11875,-25.80125
"183",147.11875,-28.20125
"184",147.11875,-35.40125
"185",147.11875,-32.40125
"186",147.11875,-33.00125
"187",146.51875,-38.40125
"188",146.51875,-37.20125
"189",146.51875,-34.80125
"190",146.51875,-36.60125
"191",146.51875,-35.40125
"192",146.51875,-34.20125
"193",146.51875,-33.00125
"194",146.51875,-33.60125
"195",146.51875,-36.00125
"196",146.51875,-31.80125
"197",146.51875,-32.40125
"198",146.51875,-31.20125
"199",147.11875,-25.20125
"200",146.51875,-29.40125
"201",147.11875,-22.20125
"202",147.11875,-24.60125
"203",147.11875,-20.40125
"204",147.11875,-21.60125
"205",147.11875,-22.80125
"206",147.11875,-19.80125
"207",147.11875,-23.40125
