Record ID,Date Time,Air Temp Avg,Air Temp Min,Air Temp Min Time,Air Temp Max,Air Temp Max Time,Humidity,Barometer,Battery,Min Battery,ETo,Rain Yearly,Rain Rate,Solar Avg,Wind Speed Avg,Wind Speed Max,Wind Speed Max Time,Wind Speed Avg,Wind Direction
83177,16/11/2013 0:00,14.3,13.9,15/11/2013 23:56,14.7,15/11/2013 23:40,48,60.11,12.71,12.7,0,24.33,0,0,2.5,6.3,15/11/2013 23:41,2.5,105
83178,16/11/2013 0:20,13.8,13.4,16/11/2013 0:17,14.2,16/11/2013 0:00,51,60.12,12.71,12.7,0,24.33,0,0,1.4,5.1,16/11/2013 0:08,1.4,106
83179,16/11/2013 0:40,13.5,13,16/11/2013 0:39,13.8,16/11/2013 0:21,54,60.12,12.71,12.69,0,24.33,0,0,1.3,5.4,16/11/2013 0:28,1.3,104
83180,16/11/2013 1:00,13.1,12.8,16/11/2013 0:56,13.5,16/11/2013 0:44,57,60.12,12.7,12.68,0,24.33,0,0,1,3.9,16/11/2013 0:44,1,109
83181,16/11/2013 1:20,12.8,12.2,16/11/2013 1:14,13.1,16/11/2013 1:03,59,60.11,12.7,12.69,0,24.33,0,0,1,4.9,16/11/2013 1:08,1,112
83182,16/11/2013 1:40,12.5,12.1,16/11/2013 1:35,12.8,16/11/2013 1:24,61,60.11,12.7,12.68,0,24.33,0,0,0.9,4,16/11/2013 1:36,0.9,104
83183,16/11/2013 2:00,12.1,11.7,16/11/2013 1:59,12.4,16/11/2013 1:41,63,60.11,12.7,12.68,0,24.33,0,0,0.9,3.5,16/11/2013 1:49,0.9,111
83184,16/11/2013 2:20,11.6,11.2,16/11/2013 2:09,12.1,16/11/2013 2:00,65,60.1,12.69,12.68,0,24.33,0,0,0.5,3.7,16/11/2013 2:20,0.5,114
83185,16/11/2013 2:40,11.3,11,16/11/2013 2:35,11.7,16/11/2013 2:20,67,60.09,12.69,12.67,0,24.33,0,0,1,4.4,16/11/2013 2:25,1,119
83186,16/11/2013 3:00,11,10.6,16/11/2013 2:59,11.6,16/11/2013 2:42,69,60.08,12.68,12.67,0,24.33,0,0,0.8,3.9,16/11/2013 2:58,0.8,107
83187,16/11/2013 3:20,10.6,10.2,16/11/2013 3:19,10.9,16/11/2013 3:02,71,60.09,12.68,12.67,0,24.33,0,0,0.6,3.4,16/11/2013 3:04,0.6,101
83188,16/11/2013 3:40,10.2,9.9,16/11/2013 3:39,10.6,16/11/2013 3:22,74,60.09,12.67,12.67,0,24.33,0,0,0.4,3,16/11/2013 3:35,0.4,111
83189,16/11/2013 4:00,9.8,9.1,16/11/2013 3:56,10.3,16/11/2013 3:47,77,60.09,12.68,12.67,0,24.33,0,0,0.2,2.3,16/11/2013 3:41,0.2,108
83190,16/11/2013 4:20,9.2,8.7,16/11/2013 4:18,9.5,16/11/2013 4:06,82,60.08,12.67,12.66,0,24.33,0,0,0.1,1.8,16/11/2013 4:17,0.1,102
83191,16/11/2013 4:40,9,8.7,16/11/2013 4:36,9.3,16/11/2013 4:27,86,60.09,12.67,12.66,0,24.33,0,0,0.2,1.8,16/11/2013 4:38,0.2,102
83192,16/11/2013 5:00,8.8,8.5,16/11/2013 4:59,9.1,16/11/2013 4:57,88,60.09,12.66,12.65,0,24.33,0,0,0.2,2.1,16/11/2013 4:46,0.2,101
83193,16/11/2013 5:20,8.7,8.2,16/11/2013 5:15,9,16/11/2013 5:03,90,60.08,12.67,12.65,0,24.33,0,0,0.4,3.5,16/11/2013 5:00,0.4,91
83194,16/11/2013 5:40,8.8,8.5,16/11/2013 5:29,9.1,16/11/2013 5:21,91,60.1,12.67,12.65,0,24.33,0,0,0.4,3.7,16/11/2013 5:37,0.4,105
83195,16/11/2013 6:00,8.8,8.5,16/11/2013 5:59,9.1,16/11/2013 5:46,92,60.1,12.66,12.65,0,24.33,0,0,0.6,3.9,16/11/2013 5:44,0.6,102
83196,16/11/2013 6:20,8.5,8.1,16/11/2013 6:17,8.8,16/11/2013 6:01,93,60.1,12.66,12.65,0,24.33,0,2,0.1,2.5,16/11/2013 6:06,0.1,106
83197,16/11/2013 6:40,8.4,8.1,16/11/2013 6:30,8.7,16/11/2013 6:38,95,60.11,12.65,12.64,0,24.33,0,10,0.1,2.3,16/11/2013 6:36,0.1,93
83198,16/11/2013 7:00,8.7,8.3,16/11/2013 6:41,9.1,16/11/2013 6:58,94,60.11,12.66,12.65,0,24.33,0,27,0.4,2.8,16/11/2013 6:49,0.4,97
83199,16/11/2013 7:20,9.4,9,16/11/2013 7:00,10,16/11/2013 7:19,90,60.11,12.66,12.64,0,24.33,0,50,0.4,3.4,16/11/2013 7:05,0.4,89
83200,16/11/2013 7:40,10.9,10,16/11/2013 7:20,11.9,16/11/2013 7:35,76,60.11,12.66,12.64,0,24.33,0,115,1,3.7,16/11/2013 7:25,1,108
83201,16/11/2013 8:00,10.7,10.1,16/11/2013 7:41,12.4,16/11/2013 7:59,72,60.12,12.66,12.65,0,24.33,0,95,1.2,5.1,16/11/2013 7:52,1.2,103
83202,16/11/2013 8:20,12.8,11.3,16/11/2013 8:09,14.5,16/11/2013 8:19,59,60.11,12.66,12.65,0,24.33,0,198,1.7,5.1,16/11/2013 8:10,1.7,111
83203,16/11/2013 8:40,14.5,13,16/11/2013 8:21,16.3,16/11/2013 8:32,46,60.1,12.67,12.66,0,24.33,0,269,2.3,6.4,16/11/2013 8:35,2.3,94
83204,16/11/2013 9:00,14.2,13.1,16/11/2013 8:47,15.9,16/11/2013 8:59,44,60.1,12.68,12.66,0,24.33,0,241,2.5,5.9,16/11/2013 8:44,2.5,107
83205,16/11/2013 9:20,15.6,13.6,16/11/2013 9:00,18,16/11/2013 9:06,41,60.1,12.69,12.67,0.01,24.33,0,363,1.9,6.1,16/11/2013 9:01,1.9,112
83206,16/11/2013 9:40,16.2,14.4,16/11/2013 9:20,18.3,16/11/2013 9:39,37,60.09,12.69,12.67,0.01,24.33,0,500,2.8,7.1,16/11/2013 9:36,2.8,115
83207,16/11/2013 10:00,17.2,15.1,16/11/2013 9:42,19.9,16/11/2013 9:50,32,60.08,12.7,12.68,0.01,24.33,0,469,2.1,6.3,16/11/2013 9:43,2.1,97
83208,16/11/2013 10:20,18.5,15.8,16/11/2013 10:01,21.2,16/11/2013 10:18,28,60.08,12.7,12.68,0.02,24.33,0,570,1.4,5.2,16/11/2013 10:02,1.4,141
83209,16/11/2013 10:40,18.2,16.4,16/11/2013 10:29,20.8,16/11/2013 10:38,27,60.07,12.7,12.69,0.02,24.33,0,645,2.4,7.1,16/11/2013 10:30,2.4,101
83210,16/11/2013 11:00,19.3,16.5,16/11/2013 10:47,21.5,16/11/2013 10:59,25,60.08,12.71,12.69,0.03,24.33,0,665,2,6.6,16/11/2013 10:55,2,119
83211,16/11/2013 11:20,20.5,17.1,16/11/2013 11:04,22.7,16/11/2013 11:01,22,60.06,12.71,12.69,0.04,24.33,0,724,1.8,5.9,16/11/2013 11:18,1.8,179
83212,16/11/2013 11:40,20.7,17.8,16/11/2013 11:26,24,16/11/2013 11:39,21,60.06,12.7,12.69,0.04,24.33,0,759,2,6.8,16/11/2013 11:31,2,141
83213,16/11/2013 12:00,21.8,17.6,16/11/2013 11:52,24.4,16/11/2013 11:55,19,60.05,12.71,12.69,0.05,24.33,0,793,1.6,6.4,16/11/2013 11:56,1.6,130
83214,16/11/2013 12:20,21.2,18.2,16/11/2013 12:04,24.5,16/11/2013 12:14,19,60.04,12.71,12.69,0.05,24.33,0,817,2.6,8.5,16/11/2013 12:07,2.6,106
83215,16/11/2013 12:40,23.5,19.2,16/11/2013 12:20,26.1,16/11/2013 12:35,16,60.03,12.71,12.7,0.06,24.33,0,836,2,8.7,16/11/2013 12:36,2,218
83216,16/11/2013 13:00,23,19.9,16/11/2013 12:45,26.6,16/11/2013 12:55,16,60.02,12.71,12.69,0.07,24.33,0,851,1.8,6.1,16/11/2013 12:50,1.8,106
83217,16/11/2013 13:20,24.1,20.9,16/11/2013 13:10,26.8,16/11/2013 13:14,14,60.02,12.71,12.69,0.08,24.33,0,859,1.7,7.1,16/11/2013 13:19,1.7,110
83218,16/11/2013 13:40,24.7,20.3,16/11/2013 13:39,27.4,16/11/2013 13:23,13,60.01,12.71,12.68,0.08,24.33,0,860,2.1,7.6,16/11/2013 13:28,2.1,193
83219,16/11/2013 14:00,24.7,20.2,16/11/2013 13:40,27.6,16/11/2013 13:57,13,60,12.71,12.69,0.09,24.33,0,856,1.8,7.1,16/11/2013 13:46,1.8,119
83220,16/11/2013 14:20,25.1,21.3,16/11/2013 14:17,28.5,16/11/2013 14:02,12,59.99,12.71,12.69,0.1,24.33,0,845,2,9.2,16/11/2013 14:13,2,88
83221,16/11/2013 14:40,25.9,22,16/11/2013 14:21,28.5,16/11/2013 14:24,11,59.98,12.71,12.68,0.11,24.33,0,827,1.9,7.3,16/11/2013 14:32,1.9,169
83222,16/11/2013 15:00,26.5,22.9,16/11/2013 14:50,29.1,16/11/2013 14:41,10,59.97,12.71,12.69,0.11,24.33,0,805,1.7,6.9,16/11/2013 14:41,1.7,180
83223,16/11/2013 15:20,26.3,23.2,16/11/2013 15:02,28.8,16/11/2013 15:16,9,59.96,12.71,12.69,0.12,24.33,0,776,2.2,7.6,16/11/2013 15:15,2.2,129
83224,16/11/2013 15:40,26.3,23,16/11/2013 15:30,29.2,16/11/2013 15:32,9,59.95,12.7,12.69,0.13,24.33,0,743,2.3,9.2,16/11/2013 15:38,2.3,140
83225,16/11/2013 16:00,26.4,23.3,16/11/2013 15:45,29.3,16/11/2013 15:57,9,59.95,12.7,12.69,0.13,24.33,0,704,2.3,8.1,16/11/2013 15:42,2.3,212
83226,16/11/2013 16:20,26.2,23.1,16/11/2013 16:08,28.5,16/11/2013 16:03,8,59.94,12.7,12.68,0.14,24.33,0,661,1.7,6.9,16/11/2013 16:05,1.7,121
83227,16/11/2013 16:40,25.5,23.3,16/11/2013 16:26,28.1,16/11/2013 16:27,9,59.93,12.7,12.68,0.15,24.33,0,613,2.3,7.4,16/11/2013 16:36,2.3,101
83228,16/11/2013 17:00,25.9,23.9,16/11/2013 16:54,27.4,16/11/2013 16:44,9,59.94,12.7,12.68,0.15,24.33,0,561,2.2,6.6,16/11/2013 16:53,2.2,135
83229,16/11/2013 17:20,25.3,24,16/11/2013 17:16,27.2,16/11/2013 17:09,9,59.93,12.69,12.68,0.16,24.33,0,506,2.3,7.1,16/11/2013 17:01,2.3,103
83230,16/11/2013 17:40,25.7,23.7,16/11/2013 17:25,27.1,16/11/2013 17:32,9,59.93,12.69,12.68,0.16,24.33,0,451,1.8,5.1,16/11/2013 17:25,1.8,184
83231,16/11/2013 18:00,25,23.2,16/11/2013 17:52,26.4,16/11/2013 17:42,10,59.93,12.68,12.66,0.16,24.33,0,392,1.7,7.4,16/11/2013 17:52,1.7,114
83232,16/11/2013 18:20,24.6,23.5,16/11/2013 18:18,26,16/11/2013 18:08,10,59.93,12.68,12.66,0.16,24.33,0,331,1.4,5.9,16/11/2013 18:05,1.4,115
83233,16/11/2013 18:40,24.1,23.3,16/11/2013 18:32,25.5,16/11/2013 18:23,10,59.93,12.68,12.65,0.17,24.33,0,269,1.8,5.6,16/11/2013 18:22,1.8,119
83234,16/11/2013 19:00,23.4,22.8,16/11/2013 18:48,24.6,16/11/2013 18:40,12,59.95,12.67,12.66,0.17,24.33,0,207,2.1,6.4,16/11/2013 18:42,2.1,104
83235,16/11/2013 19:20,22.6,22.1,16/11/2013 19:20,23,16/11/2013 19:02,15,59.95,12.67,12.66,0.17,24.33,0,138,3.2,7.6,16/11/2013 19:04,3.2,100
83236,16/11/2013 19:40,21.9,21.2,16/11/2013 19:39,22.3,16/11/2013 19:23,16,59.96,12.67,12.65,0.17,24.33,0,59,2.3,6.4,16/11/2013 19:30,2.3,115
83237,16/11/2013 20:00,21.2,20.4,16/11/2013 19:59,21.8,16/11/2013 19:40,17,59.98,12.66,12.65,0.17,24.33,0,14,1.7,6.9,16/11/2013 19:46,1.7,105
83238,16/11/2013 20:20,20.4,19.8,16/11/2013 20:19,21,16/11/2013 20:00,19,59.98,12.65,12.64,0.17,24.33,0,6,1.6,5.2,16/11/2013 20:12,1.6,111
83239,16/11/2013 20:40,19.6,19.1,16/11/2013 20:39,20.2,16/11/2013 20:23,22,59.99,12.64,12.63,0.17,24.33,0,1,1.1,4.4,16/11/2013 20:32,1.1,116
83240,16/11/2013 21:00,19,18.3,16/11/2013 21:00,19.7,16/11/2013 20:43,25,60,12.64,12.62,0.17,24.33,0,0,0.6,4,16/11/2013 20:43,0.6,122
83241,16/11/2013 21:20,18.6,18.2,16/11/2013 21:13,19,16/11/2013 21:04,27,60.01,12.64,12.62,0.17,24.33,0,0,1.2,5.4,16/11/2013 21:08,1.2,115
83242,16/11/2013 21:40,18.1,17.7,16/11/2013 21:37,18.6,16/11/2013 21:22,29,60.02,12.63,12.62,0.17,24.33,0,0,1.4,4.7,16/11/2013 21:38,1.4,112
83243,16/11/2013 22:00,17.6,17.2,16/11/2013 21:53,18.2,16/11/2013 21:42,33,60.03,12.63,12.61,0.17,24.33,0,0,1.9,5.2,16/11/2013 21:42,1.9,105
83244,16/11/2013 22:20,17.3,16.8,16/11/2013 22:19,17.7,16/11/2013 22:00,35,60.04,12.63,12.6,0.17,24.33,0,0,2.1,6.4,16/11/2013 22:04,2.1,110
83245,16/11/2013 22:40,16.9,16.5,16/11/2013 22:38,17.2,16/11/2013 22:20,37,60.04,12.63,12.6,0.17,24.33,0,0,2.3,5.7,16/11/2013 22:32,2.3,110
83246,16/11/2013 23:00,16.5,16.1,16/11/2013 22:57,16.8,16/11/2013 22:44,38,60.04,12.63,12.6,0.17,24.33,0,0,2.8,7.3,16/11/2013 22:50,2.8,105
83247,16/11/2013 23:20,16.1,15.6,16/11/2013 23:20,16.4,16/11/2013 23:02,39,60.05,12.62,12.6,0.17,24.33,0,0,2.8,7.1,16/11/2013 23:07,2.8,111
83248,16/11/2013 23:40,15.6,15.2,16/11/2013 23:38,16,16/11/2013 23:24,41,60.05,12.62,12.6,0.17,24.33,0,0,2.2,6.1,16/11/2013 23:35,2.2,113
