ObsTb,Posture,Tc_init,Qsol,Zen,vel,Tair,Tsurf,PctCanopy,PctCloud,PctShade,RelHum
35.5,n,32.5,710,31.35732651,2.222224,32.5,32.82373229,93.24,0,50,6
35.5,p,32.5,710,31.35732651,2.222224,32.5,32.82373229,93.24,0,50,6
35.1,n,32.5,710,31.35732651,2.222224,32.5,32.82373229,93.24,0,50,6
35.1,p,32.5,710,31.35732651,2.222224,32.5,32.82373229,93.24,0,50,6
37.3,n,21,713,30.66467857,1.2777788,21,30.76558897,0,0,50,23
37.3,p,21,713,30.66467857,1.2777788,21,30.76558897,0,0,50,23
39.8,n,21,713,30.66467857,1.2777788,21,30.76558897,0,0,50,23
39.8,p,21,713,30.66467857,1.2777788,21,30.76558897,0,0,50,23
31.3,n,22.2,660,48.9167366,3.1111136,22.2,22.69205586,21.48,50,50,19
31.3,p,22.2,660,48.9167366,3.1111136,22.2,22.69205586,21.48,50,50,19
33.1,n,22.2,660,48.9167366,3.1111136,22.2,22.69205586,21.48,50,50,19
33.1,p,22.2,660,48.9167366,3.1111136,22.2,22.69205586,21.48,50,50,19
28.9,n,26.5,795,36.97812271,0.416667,26.5,25.05577338,88.56,0,100,7
28.9,p,26.5,795,36.97812271,0.416667,26.5,25.05577338,88.56,0,100,7
28.1,n,26.5,795,36.97812271,0.416667,26.5,25.05577338,88.56,0,100,7
28.1,p,26.5,795,36.97812271,0.416667,26.5,25.05577338,88.56,0,100,7
33.4,n,33.4,622,59.77763367,5.7222268,33.4,33.91753375,88.3,0,80,4
33.4,p,33.4,622,59.77763367,5.7222268,33.4,33.91753375,88.3,0,80,4
33.5,n,33.4,622,59.77763367,5.7222268,33.4,33.91753375,88.3,0,80,4
33.5,p,33.4,622,59.77763367,5.7222268,33.4,33.91753375,88.3,0,80,4
40.1,n,36.7,781,27.66708565,2.083335,36.7,31.82420644,84.14,0,100,4
40.1,p,36.7,781,27.66708565,2.083335,36.7,31.82420644,84.14,0,100,4
39.7,n,36.7,781,27.66708565,2.083335,36.7,31.82420644,84.14,0,100,4
39.7,p,36.7,781,27.66708565,2.083335,36.7,31.82420644,84.14,0,100,4
34.4,n,32.7,211,47.32826614,2.083335,32.7,34.69323101,90.12,100,80,17
34.4,p,32.7,211,47.32826614,2.083335,32.7,34.69323101,90.12,100,80,17
34.5,n,32.7,211,47.32826614,2.083335,32.7,34.69323101,90.12,100,80,17
34.5,p,32.7,211,47.32826614,2.083335,32.7,34.69323101,90.12,100,80,17
