"","lizards[k]","Tpred","ObsTb","Posture","Tc_init","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"1","M10_opmodel",37.4658675159681,39.7,"n",37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
"2","M10_opmodel",37.3890100771716,39.7,"p",37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
"3","M10_opmodel",37.4658675159681,40.3,"n",37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
"4","M10_opmodel",37.3890100771716,40.3,"p",37.4,362,61.9149971,4.9722262,37.4,35.72682083,58.93,30,90,4
"5","M10_opmodel",31.1491398359839,32.8,"n",28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
"6","M10_opmodel",30.4341496977494,32.8,"p",28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
"7","M10_opmodel",31.1491398359839,33.5,"n",28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
"8","M10_opmodel",30.4341496977494,33.5,"p",28.6,603,27.73885536,4.5555592,28.6,32.65104105,73.5,40,0,23
"9","M10_opmodel",26.9151789463352,31.5,"n",25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
"10","M10_opmodel",26.0572299089626,31.5,"p",25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
"11","M10_opmodel",26.9151789463352,29.9,"n",25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
"12","M10_opmodel",26.0572299089626,29.9,"p",25.3,194,73.7667923,2.1388906,25.3,29.57414637,78.54,0,20,18
"13","M10_opmodel",24.8399880525966,22.6,"n",21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
"14","M10_opmodel",23.3229213924145,22.6,"p",21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
"15","M10_opmodel",24.8399880525966,21.3,"n",21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
"16","M10_opmodel",23.3229213924145,21.3,"p",21.2,325,73.14199066,2.8055578,21.2,19.486345,97.09,40,0,20
"17","M10_opmodel",28.5055539826784,34.5,"n",27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
"18","M10_opmodel",28.1677503034388,34.5,"p",27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
"19","M10_opmodel",28.5055539826784,32.8,"n",27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
"20","M10_opmodel",28.1677503034388,32.8,"p",27.4,678,29.30606842,2.4166686,27.4,29.92131368,19.71,5,70,15
"21","M10_opmodel",23.5716686058719,25.1,"n",22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
"22","M10_opmodel",23.1124665421735,25.1,"p",22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
"23","M10_opmodel",23.5716686058719,25.3,"n",22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
"24","M10_opmodel",23.1124665421735,25.3,"p",22,433,28.64190674,4.6944482,22,28.38127498,76.95,30,10,28
"25","M10_opmodel",29.3108497556366,31.6,"n",29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
"26","M10_opmodel",29.3108497556366,31.6,"p",29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
"27","M10_opmodel",29.3108497556366,33.1,"n",29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
"28","M10_opmodel",29.3108497556366,33.1,"p",29.5,648,59.98209381,0.8055562,29.5,27.89539676,62.9,0,100,5
"29","M10_opmodel",31.597455875301,33.7,"n",31.2,466,36.45314407,3.5277806,31.2,22.78075819,43.29,0,0,4
